#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
9.098196392785572684e+00 1.185875814486465202e-01
9.178356713426854441e+00 1.212048486198523262e-01
9.258517034068137974e+00 1.255683096209782301e-01
9.338677354709419731e+00 1.311610674231348805e-01
9.418837675350701488e+00 1.383649779313215200e-01
9.498997995991985022e+00 1.499365530667482460e-01
9.579158316633268555e+00 1.622857211376189657e-01
9.659318637274550312e+00 1.730439586442577837e-01
9.739478957915832069e+00 1.828850750627836752e-01
9.819639278557115603e+00 1.903359175456721952e-01
9.899799599198399136e+00 2.006416551038639196e-01
9.979959919839680893e+00 2.135039986960569347e-01
1.006012024048096265e+01 2.257015133467970558e-01
1.014028056112224618e+01 2.366141492003124847e-01
1.022044088176352794e+01 2.433183804637743253e-01
1.030060120240480970e+01 2.497399808642663532e-01
1.038076152304609323e+01 2.572436924678693226e-01
1.046092184368737676e+01 2.647329908233384543e-01
1.054108216432865852e+01 2.716806836888661092e-01
1.062124248496994028e+01 2.802089019135852732e-01
1.070140280561122381e+01 2.883025034207776227e-01
1.078156312625250735e+01 2.993208756391967373e-01
1.086172344689378910e+01 3.151818662105978497e-01
1.094188376753507086e+01 3.317388194701844095e-01
1.102204408817635439e+01 3.501610099977184309e-01
1.110220440881763615e+01 3.706564093844696428e-01
1.118236472945891791e+01 3.808207506705972301e-01
1.126252505010020144e+01 3.915184534692842666e-01
1.134268537074148497e+01 3.953418991728040455e-01
1.142284569138276673e+01 4.081106589750128077e-01
1.150300601202404849e+01 4.249962631325197027e-01
1.158316633266533202e+01 4.486425480740386940e-01
1.166332665330661555e+01 4.705226383946152224e-01
1.174348697394789731e+01 4.878262570069321069e-01
1.182364729458917907e+01 5.038722518903583358e-01
1.190380761523046260e+01 5.119951780286430276e-01
1.198396793587174436e+01 5.273078992175440627e-01
1.206412825651302612e+01 5.437038012719659363e-01
1.214428857715430965e+01 5.647524312357232734e-01
1.222444889779559318e+01 5.806990944751359018e-01
1.230460921843687494e+01 5.915754239303518958e-01
1.238476953907815670e+01 6.037903257155073922e-01
1.246492985971944023e+01 6.125401687311674559e-01
1.254509018036072376e+01 6.287522934206308811e-01
1.262525050100200552e+01 6.468299275934679127e-01
1.270541082164328728e+01 6.684930221827430907e-01
1.278557114228457081e+01 6.848006476195556136e-01
1.286573146292585257e+01 6.881595873096821858e-01
1.294589178356713433e+01 6.901037313140916396e-01
1.302605210420841786e+01 6.873367660750638874e-01
1.310621242484970139e+01 6.843338483138118322e-01
1.318637274549098315e+01 6.909614737944410612e-01
1.326653306613226491e+01 7.009065599790249568e-01
1.334669338677354844e+01 7.131036421411424131e-01
1.342685370741483197e+01 7.279097981814411922e-01
1.350701402805611373e+01 7.359621961419401392e-01
1.358717434869739549e+01 7.408099332986107788e-01
1.366733466933867902e+01 7.536177535435593100e-01
1.374749498997996078e+01 7.626724471647249315e-01
1.382765531062124253e+01 7.693296449786215518e-01
1.390781563126252607e+01 7.734920800746512004e-01
1.398797595190380960e+01 7.770994655583008948e-01
1.406813627254509136e+01 7.814107413946481673e-01
1.414829659318637312e+01 7.919808141214399466e-01
1.422845691382765665e+01 8.028602493215761804e-01
1.430861723446894018e+01 8.159715068840982521e-01
1.438877755511022194e+01 8.210896733364053679e-01
1.446893787575150370e+01 8.271699309193358829e-01
1.454909819639278723e+01 8.366020488460548243e-01
1.462925851703406899e+01 8.446185911092638499e-01
1.470941883767535074e+01 8.602994022512255867e-01
1.478957915831663428e+01 8.780542746597118642e-01
1.486973947895791781e+01 8.880276766877253092e-01
1.494989979959919957e+01 9.003083806244321918e-01
1.503006012024048133e+01 9.108246381740243702e-01
1.511022044088176486e+01 9.128294809721548830e-01
1.519038076152304662e+01 9.145537544705936162e-01
1.527054108216432837e+01 9.120761851435021939e-01
1.535070140280561191e+01 9.021717708808318914e-01
1.543086172344689544e+01 8.987290872184432455e-01
1.551102204408817720e+01 8.955573386062434249e-01
1.559118236472945895e+01 8.896243747557861514e-01
1.567134268537074249e+01 8.875347027527596966e-01
1.575150300601202602e+01 8.855037089284141238e-01
1.583166332665330778e+01 8.929796745707492267e-01
1.591182364729458953e+01 8.935372037244720955e-01
1.599198396793587307e+01 8.864858836224088767e-01
1.607214428857715660e+01 8.787892374420274155e-01
1.615230460921843658e+01 8.593048583256848172e-01
1.623246492985972012e+01 8.477540321891225972e-01
1.631262525050100365e+01 8.360938880762909253e-01
1.639278557114228363e+01 8.282316104646946231e-01
1.647294589178356716e+01 8.138490417292705281e-01
1.655310621242485070e+01 8.021980466444502689e-01
1.663326653306613423e+01 8.061548635444000244e-01
1.671342685370741776e+01 8.026859052687288498e-01
1.679358717434869774e+01 8.036511192999672426e-01
1.687374749498998128e+01 8.080990618205119436e-01
1.695390781563126126e+01 8.194058866931833718e-01
1.703406813627254479e+01 8.234965269429344037e-01
1.711422845691382832e+01 8.235271240319572694e-01
1.719438877755511186e+01 8.176133514189265483e-01
1.727454909819639539e+01 8.129354564110932158e-01
1.735470941883767537e+01 8.055811093139416679e-01
1.743486973947895891e+01 7.920649721761057194e-01
1.751503006012024244e+01 7.943666910197000330e-01
1.759519038076152242e+01 7.870766809310423273e-01
1.767535070140280595e+01 7.723529922360510280e-01
