FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
4.8827,0.192,1.3142e-07,391.7053,58150.705539343
4.3165,0.32,1.6862e-07,2547.424,55868.947982877
38.1155,0.064,7.8343e-07,683.687,59960.374382802
1.7645,0.96,2.3239e-07,951.3375,55002.90110823
11.6964,0.832,3.8025e-07,0.0,60529.919601698
4.2727,0.128,5.8269e-08,295.6631,59811.998220085
3.3007,0.928,7.2655e-08,0.0,60466.171050026
2.9474,1.728,2.4507e-07,0.0,59822.580936634
5.2001,0.448,2.0642e-07,896.8208,59370.21456469
8.3939,1.536,4.9097e-07,785.1097,60532.880091237
4.4413,0.064,1.0727e-07,762.4386,56745.271779788
4.0611,0.512,6.2555e-08,0.0,59785.243713745
6.7237,0.128,1.0623e-07,339.0917,55671.945969141
3.0705,0.064,8.5728e-08,293.6709,60599.68044968
4.1964,0.48,7.0555e-08,0.0,60935.092523045
3.9907,0.192,1.2798e-07,226.5317,57288.429374116
3.0604,0.672,1.3802e-07,98.85343,57489.061718953
3.4634,0.224,9.2136e-08,323.0709,57021.870899469
15.6568,0.32,7.388e-07,0.0,60964.624534311
2.7661,0.32,1.4378e-07,0.0,61000.688182761
5.9517,0.448,1.2755e-07,311.1816,56827.490295512
10.5278,0.24,2.4322e-07,402.3665,55372.77255176
4.6269,0.384,2.1039e-07,530.1995,56848.536869392
2.2407,1.792,1.2215e-07,0.0,58676.017600178
3.8882,0.672,7.0217e-08,0.0,57778.10220263
5.8264,0.256,2.5048e-07,1202.877,56090.687321265
8.4753,0.16,1.3765e-07,517.0612,58705.675014382
2.2513,0.832,1.0987e-07,0.0,60023.948682776
3.5345,0.384,9.4369e-08,0.0,60262.387967503
3.1393,0.448,9.2921e-08,0.0,59621.047093486
2.8623,0.416,5.3855e-08,115.0168,60149.048951983
3.4316,1.088,8.6791e-08,0.0,58476.987354785
2.7407,0.768,1.5993e-07,2610.504,54982.7749594
7.6963,0.96,4.1688e-07,350.31,58188.073533578
6.1707,0.272,1.1264e-07,92.90292,56989.96242868
1.6547,0.576,3.3019e-08,0.0,60911.568216
15.588,0.256,4.8392e-07,322.9394,58371.352453788
15.6843,0.176,4.5053e-07,1520.465,59946.015427856
6.7147,0.128,1.546e-07,373.9791,55660.17871065
3.2918,0.192,1.2948e-07,435.1163,57067.292623259
2.4202,1.792,3.8887e-07,227.9216,57960.248789579
2.9649,0.256,5.6269e-08,1345.125,54813.173398565
3.3441,0.528,5.3892e-08,138.726,60059.229622218
2.7828,0.16,6.5454e-08,461.9866,56961.998158826
11.4077,0.384,5.6913e-07,340.9735,58110.81823001
1.7359,1.408,2.0135e-07,55.48438,57239.745978129
3.2746,0.576,1.5632e-07,0.0,60655.099558733
2.1319,1.6,2.8993e-07,0.0,58582.901452024
3.7842,0.192,9.8958e-08,438.8054,55856.853746575
4.6506,0.192,1.8341e-07,1137.15,54839.321798145
25.1393,0.176,9.8332e-07,714.7665,56901.820573784
3.048,1.28,3.9309e-07,0.0,60321.741753048
10.7148,0.64,3.06e-07,0.0,60009.672934362
5.0234,0.048,5.4477e-08,315.8096,60241.555953943
2.9755,0.32,7.2521e-08,594.7273,56858.1579325
4.9068,0.192,1.4778e-07,1047.985,58540.515111993
4.4239,0.96,7.7348e-07,907.9193,58933.137867389
8.1559,0.448,4.656e-07,835.4348,56150.014239442
2.474,0.192,7.8217e-08,242.9045,55110.360265376
2.2221,1.856,2.6024e-07,0.0,61004.041421101
8.5178,1.6,1.8784e-06,835.3549,56474.760772139
11.0088,0.096,2.6791e-07,0.0,61017.536487828
3.5976,1.856,2.4129e-07,146.6427,59712.865376845
4.0804,1.728,1.4412e-07,768.0232,57780.634360758
5.8502,0.225,1.5802e-07,663.026,60489.817078744
5.3248,1.408,2.3141e-07,318.4117,56788.095272689
61.117,1.536,5.6463e-06,207.2146,58302.949205061
20.6048,0.16,6.0724e-07,1927.986,60506.238926575
39.9594,0.896,4.7542e-06,0.0,59992.911929276
5.0566,0.896,7.9161e-07,874.3542,56169.296568672
3.1,0.32,9.9945e-08,0.0,54939.816260628
6.0382,0.256,2.6606e-07,293.5263,58210.480690118
20.8826,0.288,3.6216e-07,340.9032,57040.926766913
