FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
3.3897,0.96,2.5158e-07,281.8124,56465.615199119
2.8383,0.256,9.6357e-08,624.1074,56778.138673675
3.8882,1.92,3.158e-07,143.7076,58286.871799346
1.6185,1.792,3.1954e-07,0.0,60324.46057992
5.6644,0.448,2.8666e-07,512.0059,57620.495956554
0.7267,0.896,6.6156e-08,0.0,56135.353924548
12.4864,0.96,5.6691e-07,1497.037,59296.918268478
1.2359,0.704,2.4786e-08,0.0,56900.214597868
1.4821,0.576,1.3689e-07,4606.164,55962.285478094
0.6987,0.768,3.24e-08,0.0,60632.615460077
1.9812,0.512,9.3692e-08,0.0,60085.210691356
2.1119,0.96,1.0562e-07,615.3942,56999.631924993
9.1437,0.512,5.0883e-07,836.6934,56876.499693101
10.9119,1.088,1.1506e-06,173.1015,55979.02055706
2.1429,0.48,3.8228e-08,624.4161,58037.810045671
1.1968,0.192,4.3284e-08,1766.214,55235.385809512
1.7456,0.448,6.9436e-08,313.0786,55605.875594233
2.0599,0.704,5.9002e-08,0.0,57877.734386405
10.1061,0.832,7.4292e-07,232.7175,55376.801427693
1.092,0.016,5.3281e-08,0.0,58121.089723587
9.217,1.664,1.2277e-06,1324.942,57806.209017133
0.3867,0.832,1.9961e-08,0.0,60137.027236234
208.061,0.032,6.3508e-06,144.574,58065.656093797
7.9061,0.832,5.3424e-07,663.9215,57387.568150062
7.9414,0.224,3.4606e-07,890.2384,55877.908196339
6.5343,1.28,4.4146e-07,313.801,56966.406102001
3.9187,1.264,8.9716e-08,0.0,58618.18961962
3.5767,1.408,1.195e-07,204.6065,60563.487853617
2.9631,0.224,7.9548e-08,486.3318,57948.049202813
2.2036,1.28,1.5258e-07,0.0,59183.229740183
3.0446,0.704,6.5105e-08,679.8425,56666.770904637
3.5654,0.384,1.8171e-07,618.9827,57563.477098988
188.577,0.384,5.3681e-06,413.7892,56009.507172722
1.0816,0.32,3.559e-08,316.2015,58141.820020528
2.4335,0.32,6.1418e-08,13076.56,54789.184340961
3.9851,0.64,2.463e-07,530.5813,59903.895461232
5.8134,1.792,9.0799e-07,1966.944,60511.017259445
187.268,0.352,6.6295e-06,347.2687,60310.539858328
6.4471,0.192,1.7467e-07,369.4204,54804.516965197
3.8192,0.768,3.5329e-07,1737.197,56643.108467173
9.8803,1.152,8.5463e-07,1292.188,58153.108529238
6.3548,0.128,1.42e-07,0.0,60940.884327123
1.9159,1.984,2.9146e-07,89.53919,56624.629459293
1.9671,0.256,4.9272e-08,978.8054,58443.306588746
2.1858,0.024,6.9733e-08,0.0,55161.388756164
0.8554,1.728,1.1291e-07,0.0,58900.161790639
3.2838,0.256,5.9467e-08,181.6577,57182.316196559
3.909,0.192,6.7173e-08,513.449,57288.296946575
38.4254,0.304,1.8133e-06,2170.823,54889.771544061
8.2143,0.432,2.289e-07,698.8821,57484.503203683
66.725,1.408,5.7305e-06,243.9309,56697.31317396
2.4308,0.704,1.3414e-07,5143.288,58607.678105479
2.8133,0.192,7.1935e-08,233.9867,56153.802855852
7.7044,0.576,5.0385e-07,199.8861,54823.419411431
6.7661,0.256,1.2241e-07,91.55299,56512.253167722
5.8035,0.192,7.1507e-08,1822.74,54918.713251586
1.9355,0.576,6.9582e-08,0.0,60443.681739096
4.2062,0.64,4.6491e-07,465.2468,58613.430046804
4.9483,1.472,2.2204e-07,0.0,59771.278560511
16.0392,0.048,2.8147e-07,318.716,55045.23545234
11.3504,0.064,1.1064e-07,231.5572,55413.30014441
0.9887,0.96,2.6048e-08,0.0,59158.482284421
0.5497,1.536,4.9602e-08,385.3028,59107.143926471
1.71,0.128,1.7629e-08,722.8513,57061.928687689
30.0007,1.136,2.7077e-06,194.924,59087.187414012
4.4618,0.192,1.4988e-07,792.5041,55243.421529947
2.3308,0.96,1.4945e-07,993.4102,56818.487057378
3.935,1.152,1.1757e-07,0.0,59788.681010923
0.5623,0.896,3.7473e-08,0.0,60178.992296337
8.4026,0.768,5.8239e-07,1445.343,57378.340435463
2.9681,0.48,4.6254e-08,261.7709,57023.270066683
4.1392,0.32,1.7485e-07,0.0,59668.519551775
0.5943,0.896,2.5107e-08,508.6878,59352.889096235
1.2402,1.664,9.9947e-08,0.0,58983.380290785
3.7459,0.192,1.5856e-07,0.0,58443.400686286
4.257,0.08,6.0801e-08,228.1377,57106.695862213
3.5004,1.28,3.6385e-07,356.9443,56996.337007995
1.7873,0.704,9.6502e-08,1210.65,56056.619477315
3.5032,1.28,8.4635e-08,396.2972,54775.613788048
22.2151,0.096,4.49e-07,869.0389,60476.744271446
3.2311,0.256,6.0442e-08,126.9114,59214.622025487
4.7333,1.792,6.3338e-07,314.596,56834.84322046
3.5924,0.272,9.374e-08,0.0,60693.771666279
0.6745,0.32,2.3532e-08,0.0,58634.568099793
2.3422,1.792,2.0807e-07,4241.173,56559.910435645
1.0519,0.96,3.2122e-08,473.8487,59157.622466019
79.3628,0.96,3.2965e-06,517.1387,57253.439808993
1.2664,1.28,4.0459e-08,0.0,60561.573666057
18.2507,0.192,7.485e-07,1021.997,55747.150832616
6.4648,0.32,1.5827e-07,317.1451,57317.577107513
10.5445,0.368,2.7122e-07,305.9569,58600.190452323
1.6525,1.792,2.1718e-07,1847744.0,55820.015991299
5.6639,0.32,4.4133e-07,1243.219,57908.602836647
6.3299,0.576,2.5361e-07,343.7138,54680.385538512
1.6386,0.192,3.2756e-08,0.0,60345.662480704
5.6049,1.472,4.2259e-07,434.4489,55341.744040295
2.4059,0.96,2.0209e-07,0.0,54857.244834893
0.824,1.536,6.4223e-08,0.0,56161.627736098
6.7727,0.576,2.2899e-07,112.2571,58876.152844618
4.1482,0.192,1.1787e-07,1694.898,56327.483931755
4.4688,0.16,7.1912e-08,0.0,60891.484762523
20.6677,0.144,4.6945e-07,140.6982,59204.9628973
3.1332,0.112,8.3668e-08,192.7401,57687.373105102
5.8905,0.032,1.004e-07,243.163,58608.05149687
1.1371,1.152,1.7747e-08,0.0,60281.830604768
1.3526,1.728,1.3163e-07,832.5048,56972.435411928
2.7608,0.32,5.6865e-08,999.1007,55673.029034201
13.3494,0.32,6.8755e-07,845.7714,60064.32452321
6.553,0.96,3.7112e-07,1076.418,59107.845547938
2.7647,0.768,1.6082e-07,81900.0,54971.831874721
7.8696,1.408,8.4116e-07,1065.664,60444.169271296
5.1499,1.28,3.2316e-07,0.0,59976.2358033
2.826,1.344,6.7964e-08,243.1277,55496.229522705
3.7141,0.768,4.1439e-07,387.0484,58374.783420604
0.9918,0.512,2.3562e-08,168.4376,54728.789989644
4.4618,0.256,9.1714e-08,664.8873,58329.017828046
6.2353,0.96,3.1119e-07,470.0422,58295.391558426
4.0074,0.64,1.0336e-07,0.0,60455.491412611
2.134,1.344,1.3943e-07,0.0,59344.805565166
0.6368,1.6,2.82e-08,0.0,57548.689775881
3.1259,0.128,3.3953e-08,94.05456,58739.154969121
2.771,1.728,1.0621e-07,446.0818,55554.227243769
13.1317,0.704,5.1732e-07,147.2067,54839.020166267
60.9514,1.472,4.8423e-06,102.8706,58083.235228109
2.3988,0.128,6.546e-08,798.7237,55383.693274587
6.5266,0.384,3.7238e-07,494.5233,55283.140794039
0.8502,0.32,2.3295e-08,0.0,60553.710167494
3.3739,0.512,1.1496e-07,975.4105,55297.515941484
8.9097,0.384,4.2495e-07,0.0,61029.984775796
3.3169,0.128,7.7806e-08,505.9506,56478.39796249
2.4313,1.536,1.9143e-07,5221.024,55490.06286641
24.6092,0.256,1.1663e-06,734.673,58787.891332502
3.766,0.512,1.1226e-07,348.4718,59910.35220504
2.3361,1.984,1.0292e-07,845.0244,58261.782269756
1.578,0.256,2.4919e-08,502.5656,56255.605640037
2.562,0.704,1.985e-07,0.0,61037.029285383
4.4688,1.088,3.4863e-07,352.1313,56662.064595066
15.681,0.096,2.182e-07,1357.252,57803.002165776
2.9926,1.024,2.333e-07,1408.494,59753.64856981
5.7766,0.64,5.5856e-07,1192.741,57604.179667179
4.2153,0.192,1.7514e-07,305.4,55303.166478337
1.9352,1.728,1.0702e-07,0.0,54840.332285794
1.4351,0.832,7.6115e-08,0.0,58820.289804121
22.2231,0.32,9.3585e-07,616.8108,59005.76229392
0.9571,1.536,9.7117e-08,0.0,58128.608324288
2.8112,0.176,1.2106e-07,614.3219,58094.054658007
2.6152,0.832,1.2958e-07,1149.838,57879.168613439
22.8889,0.352,7.7506e-07,0.0,60723.996317151
2.7703,0.64,6.9547e-08,27.4777,58150.780387696
1.5344,0.256,3.813e-08,185.1227,58148.744060078
4.606,0.128,8.7641e-08,185.5407,55927.354246615
0.636,1.984,6.8406e-08,551.4519,57097.400106465
0.8654,0.96,7.9439e-08,1792.267,57429.118614305
18.4241,0.128,5.4712e-07,556.1556,56622.162620734
3.1774,0.096,4.1036e-08,251.0613,59023.137507378
6.0278,1.408,1.4634e-06,624.8391,56993.470203769
3.4615,0.64,1.6702e-07,757.2717,58635.324585368
2.9993,0.832,2.8691e-08,154.5984,59036.23066349
3.4951,0.384,7.1312e-08,533.7822,60161.684153052
4.0834,0.128,1.1729e-07,465.9605,55534.343270886
2.3975,1.792,2.7784e-07,0.0,59974.204038253
1.8068,1.28,6.2827e-08,0.0,55399.290563932
3.9645,0.576,1.7548e-07,954.7247,54783.230241867
2.5393,0.832,2.7643e-07,0.0,59335.939608277
3.2504,0.048,6.4193e-08,678.1469,56094.629752761
4.1978,0.128,9.6499e-08,449.5187,56479.900090394
4.2121,0.384,2.2082e-07,0.0,59919.586391346
2.4812,0.96,1.3044e-07,205.1595,56386.876516543
1.335,1.664,2.1732e-07,0.0,57614.621509048
10.6293,1.024,4.7906e-07,0.0,61067.835099168
2.6559,0.768,2.8093e-07,542.9983,54829.186827316
3.9157,0.448,7.8346e-08,0.0,60271.832238238
2.7003,0.384,1.0349e-07,323.051,58333.590158957
3.7056,0.192,7.168e-08,772.3461,57676.400012779
0.8663,1.536,8.6941e-08,0.0,59856.622359991
4.0659,0.032,6.5721e-08,516.9235,57707.744810468
6.1347,0.192,2.4102e-07,840.1863,55057.367838216
2.3367,1.024,1.1243e-07,451.2037,57164.943565601
2.1301,0.064,4.6467e-08,0.0,59750.015811358
2.7788,0.448,9.3011e-08,775.0372,54881.073821165
2.58,0.64,8.6129e-08,0.0,55519.685447428
1.8796,0.896,2.0207e-07,1815.491,56987.233293246
3.7835,0.832,7.8802e-08,601.2784,54763.245243122
4.1827,0.832,1.5944e-07,788.1045,57764.760140332
2.8425,0.64,4.1568e-08,154.9492,56376.005402991
0.5675,1.856,7.2687e-08,0.0,59380.981870411
3.2875,1.088,1.0267e-07,156.4918,57621.936959873
2.7375,0.768,2.1315e-07,633.723,56489.442286899
7.5819,0.096,1.1324e-07,332.052,57050.624241937
2.6998,0.32,4.6307e-08,569.3965,54785.890603556
11.8246,0.192,4.1737e-07,852.6987,54809.980513761
2.7851,0.32,7.1633e-08,15263.44,57583.096708543
14.621,0.496,3.8002e-07,0.0,61070.562046541
4.9222,0.768,2.6428e-07,118.8036,60432.906304962
1.1478,0.448,1.5616e-08,0.0,60517.338761469
6.5322,0.512,1.8437e-07,1278.323,57148.629926118
4.8186,0.032,5.6881e-08,0.0,58962.579298293
22.459,0.512,7.9636e-07,2681.666,55710.033829531
3.053,0.576,1.8945e-07,1913.682,56185.00048192
10.7137,0.32,3.6043e-07,588.348,56775.906002303
7.8504,0.064,1.3056e-07,901.3042,57101.462171279
31.1582,0.576,2.2906e-06,1079.138,60011.564206036
5.7999,0.384,1.9671e-07,421.217,55003.921825238
31.7564,0.288,1.7521e-06,800.3752,55917.619386844
11.2172,0.112,2.8906e-07,819.5804,60089.448707541
3.6039,0.192,2.0056e-07,0.0,59156.259141305
6.7161,1.056,3.6069e-07,646.3401,57486.267868713
4.7989,0.448,1.1684e-07,0.0,59661.507078317
9.3403,0.576,3.263e-07,822.2901,55435.455432097
2.1724,0.384,3.7994e-08,189.4557,55592.779613118
3.3351,0.32,1.6368e-07,299.2777,57277.600365877
4.8918,1.856,7.7315e-07,1677.535,54895.051802404
4.946,1.792,2.7012e-07,1216.41,58477.786436935
2.5629,0.576,1.5619e-07,438.5744,55188.191092069
7.4924,0.576,3.1701e-07,0.0,58501.937383476
1.3486,1.28,1.0492e-07,151.4998,57884.647977598
1.0318,1.6,9.5624e-08,0.0,59349.546362293
2.7075,0.512,2.3767e-07,1262.834,56985.276628887
2.9335,0.448,1.119e-07,628.8237,56974.345642393
4.4818,0.208,6.0818e-08,213.8527,55123.750473162
14.3834,1.408,1.9903e-06,186.818,59466.446751911
3.6566,1.664,2.8526e-07,0.0,58314.741193177
0.7713,0.704,2.7214e-08,0.0,60552.177168894
8.9562,0.304,2.0602e-07,554.5049,59389.040546849
9.3519,0.704,8.0259e-07,1049.728,55116.782670946
